Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,368,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,400,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,500,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,0,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,5,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,6.77,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,10,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,25,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,50,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,75,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,100,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,150,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,200,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,300,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,400,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,416,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,500,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,750,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,1000,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,1250,,
AT32,Subtropical,Late Autumn,6,11/22/15,2015-11-22T11:33:00Z,2015.891729,43.233,-40.15,43,20,6.77,NA,1500,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,0,10.47902,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,5,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,10,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,23.2,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,25,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,50,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,75,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,100,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,150,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,200,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,300,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,400,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,416,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,500,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,750,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,1000,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,1250,,
AT32,Subtropical,Late Autumn,6,11/23/15,2015-11-23T09:37:00Z,2015.894248,42.967,-40.183,43,23,23.2,10.3,1500,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,0,11.717817,5.320332233
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,5,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,10,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,25,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,26.8,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,50,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,75,,
AT32,Subtropical,Late Autumn,7,11/24/15,2015-11-24T11:17:00Z,2015.897178,40.5,-40.483,40,26,26.8,25.6,100,,
